ts,symbol,dir,entry,tp1,sl,grade,result
1756735584763,XRP/USDT:USDT,short,2.761,2.7528,2.7709,A,SL
1756735705614,TRUMP/USDT:USDT,long,8.547,8.608,8.474,A,SL
1756735764593,TA/USDT:USDT,short,0.11769,0.11609,0.11961,A,TP1
1756735764593,ARB/USDT:USDT,short,0.4955,0.4934,0.498,A,TP1
1756736183958,BTC/USDT:USDT,long,109104.8,109277.0,108899.0,A+,TP1
1756736304191,PUMP/USDT:USDT,long,0.003451,0.003481,0.003415,A,SL
1756736304191,BTC/USDT:USDT,long,109247.8,109418.0,109043.0,A,SL
1756736423211,SOL/USDT:USDT,short,200.58,199.91,201.38,A,TP1
1756736663526,TRUMP/USDT:USDT,long,8.48,8.545,8.402,A+,TP1
1756736844043,LINK/USDT:USDT,short,23.031,22.945,23.134,A,TP1
1756737143394,ENA/USDT:USDT,short,0.6339,0.631,0.6374,A,TP1
1756737143394,FARTCOIN/USDT:USDT,short,0.7417,0.7373,0.747,A,TP1
1756737204029,SOL/USDT:USDT,short,200.11,199.45,200.9,A,TP1
1756737204029,FARTCOIN/USDT:USDT,short,0.74,0.7356,0.7453,A,TP1
1756737204029,XRP/USDT:USDT,short,2.7654,2.7571,2.7753,A,TP1
1756737204029,TA/USDT:USDT,short,0.11608,0.11463,0.11782,A,SL
1756737204029,ETH/USDT:USDT,short,4400.55,4389.35,4414.0,A+,TP1
1756737204029,XRP/USDT:USDT,short,2.7629,2.7551,2.7723,A,TP1
1756737264662,ARB/USDT:USDT,short,0.492,0.4899,0.4945,A,TP1
1756737264662,ARB/USDT:USDT,short,0.4918,0.4897,0.4943,A,TP1
1756737327212,PI/USDT:USDT,short,0.3423,0.3412,0.3436,A,TP1
1756737327212,BTC/USDT:USDT,long,108986.0,109159.0,108778.0,A+,SL
1756737327212,LINK/USDT:USDT,short,22.95,22.866,23.051,A,TP1
1756737565845,TA/USDT:USDT,short,0.11646,0.11494,0.11828,A,SL
1756737565845,TA/USDT:USDT,short,0.11734,0.11592,0.11905,A,SL
1756738043912,ETH/USDT:USDT,short,4395.5,4383.9,4409.4,A,TP1
1756738346712,ETH/USDT:USDT,short,4380.85,4369.8,4394.1,A,SL
1756738346712,BTC/USDT:USDT,long,108840.1,109024.0,108619.0,A,TP1
1756738409013,XRP/USDT:USDT,short,2.7591,2.7505,2.7694,A,SL
1756738470128,LINK/USDT:USDT,short,22.852,22.767,22.954,A+,SL
1756738470128,FARTCOIN/USDT:USDT,short,0.7336,0.7293,0.7387,A,SL
1756738531261,BTC/USDT:USDT,long,108928.0,109110.0,108710.0,A,TP1
1756738531261,PUMP/USDT:USDT,long,0.00342,0.003443,0.003392,A,TP1
1756738592428,PI/USDT:USDT,short,0.3416,0.3405,0.3429,A,SL
1756738592428,ARB/USDT:USDT,short,0.4898,0.4877,0.4923,A,SL
1756738592428,PEPE/USDT:USDT,short,9.563e-06,9.524e-06,9.609e-06,A,SL
1756738592428,SOL/USDT:USDT,short,199.43,198.81,200.17,A,SL
1756738954029,FARTCOIN/USDT:USDT,short,0.7396,0.7353,0.7448,A,TP1
1756739014513,TA/USDT:USDT,short,0.11899,0.11755,0.12071,A+,SL
1756739133901,SOL/USDT:USDT,short,199.78,199.14,200.54,A+,SL
1756739133901,XRP/USDT:USDT,short,2.7633,2.7548,2.7735,A,SL
1756739133901,LINK/USDT:USDT,short,22.928,22.844,23.029,A+,SL
1756739133901,SOL/USDT:USDT,short,199.86,199.21,200.64,A,SL
1756739194198,ENA/USDT:USDT,short,0.6302,0.6273,0.6336,A,SL
