ts,symbol,dir,entry,tp1,sl,grade
1756735591541,ARB/USDT:USDT,short,0.4955,0.4934,0.498,A
1756735645282,ETH/USDT:USDT,short,4395.5,4383.9,4409.4,A
1756735742478,FARTCOIN/USDT:USDT,short,0.74,0.7356,0.7453,A
1756735742481,ENA/USDT:USDT,short,0.6339,0.631,0.6374,A
1756735801153,LINK/USDT:USDT,short,23.031,22.945,23.134,A
1756735825112,TRUMP/USDT:USDT,long,8.48,8.545,8.402,A+
1756736004215,TA/USDT:USDT,short,0.11646,0.11494,0.11828,A
1756736011384,SOL/USDT:USDT,short,200.58,199.91,201.38,A
1756736191401,BTC/USDT:USDT,long,109247.8,109418.0,109043.0,A
1756736245263,FARTCOIN/USDT:USDT,short,0.7417,0.7373,0.747,A
1756736303901,ARB/USDT:USDT,short,0.492,0.4899,0.4945,A
1756736373054,XRP/USDT:USDT,short,2.7654,2.7571,2.7753,A
1756736573334,TA/USDT:USDT,short,0.11608,0.11463,0.11782,A
1756736791470,ARB/USDT:USDT,short,0.4918,0.4897,0.4943,A
1756736821370,BTC/USDT:USDT,long,108986.0,109159.0,108778.0,A+
1756736843694,LINK/USDT:USDT,short,22.95,22.866,23.051,A
1756737046348,PUMP/USDT:USDT,long,0.00343,0.003456,0.003399,A
1756737061502,ETH/USDT:USDT,short,4400.55,4389.35,4414.0,A+
1756737083824,SOL/USDT:USDT,short,199.78,199.14,200.54,A+
1756737083828,XRP/USDT:USDT,short,2.7629,2.7551,2.7723,A
1756737181414,TA/USDT:USDT,short,0.11734,0.11592,0.11905,A
1756737211315,FARTCOIN/USDT:USDT,short,0.7355,0.7313,0.7405,A
1756737211318,PI/USDT:USDT,short,0.3416,0.3405,0.3429,A
1756737271323,ENA/USDT:USDT,short,0.6307,0.6278,0.6342,A
1756737286375,ARB/USDT:USDT,short,0.4898,0.4877,0.4923,A
1756737326927,LINK/USDT:USDT,short,22.852,22.767,22.954,A+
1756737482558,BTC/USDT:USDT,long,108928.0,109110.0,108710.0,A
1756737565520,ETH/USDT:USDT,short,4390.0,4378.7,4403.55,A
1756737744513,TA/USDT:USDT,short,0.11899,0.11755,0.12071,A+
1756737782300,ENA/USDT:USDT,short,0.6319,0.629,0.6354,A
1756737782303,XRP/USDT:USDT,short,2.7591,2.7505,2.7694,A
1756737984248,PEPE/USDT:USDT,short,9.563e-06,9.524e-06,9.609e-06,A
1756738007493,SOL/USDT:USDT,short,199.43,198.81,200.17,A
1756738082308,FARTCOIN/USDT:USDT,short,0.7336,0.7293,0.7387,A
1756738104948,ETH/USDT:USDT,short,4380.85,4369.8,4394.1,A
1756738187209,BTC/USDT:USDT,long,108840.1,109024.0,108619.0,A
1756738323504,PUMP/USDT:USDT,long,0.00342,0.003443,0.003392,A
1756738323513,XRP/USDT:USDT,short,2.7633,2.7548,2.7735,A
1756738377466,LINK/USDT:USDT,short,22.928,22.844,23.029,A+
1756738469834,ADA/USDT:USDT,short,0.8128,0.8095,0.8168,A
1756738492769,SOL/USDT:USDT,short,199.86,199.21,200.64,A
1756738507210,PI/USDT:USDT,short,0.3427,0.3416,0.344,A
1756738592100,ETH/USDT:USDT,short,4399.95,4388.25,4414.0,A+
1756738598961,FARTCOIN/USDT:USDT,short,0.7396,0.7353,0.7448,A
1756738629373,PEPE/USDT:USDT,short,9.615e-06,9.575e-06,9.663e-06,A
1756738711500,BTC/USDT:USDT,long,109153.7,109345.0,108925.0,A
1756738913535,LINK/USDT:USDT,short,22.975,22.891,23.076,A
1756738989824,ENA/USDT:USDT,short,0.6302,0.6273,0.6336,A
1756739075330,SOL/USDT:USDT,short,200.42,199.78,201.19,A
1756739111987,SUI/USDT:USDT,short,3.2432,3.2312,3.2576,A
1756739141582,ETH/USDT:USDT,short,4399.15,4388.05,4412.45,A
1756739141584,PEPE/USDT:USDT,short,9.629e-06,9.591e-06,9.674e-06,A
1756739193909,FARTCOIN/USDT:USDT,short,0.7383,0.7342,0.7432,A
1756739201260,XRP/USDT:USDT,short,2.7752,2.7667,2.7854,A+
1756739201264,ADA/USDT:USDT,short,0.816,0.8129,0.8198,A
2025-09-01 20:52:12 UTC,SUI/USDT,short,3.16170000,3.15582000,3.14994000,3.14406000,3.16758000,61.36,A,0.1860,0.0157,0.0000,-0.8512,0.3162
2025-09-01 20:53:06 UTC,DOGE/USDT,short,0.20873000,0.20822200,0.20771400,0.20720600,0.20923800,61.08,A,0.2434,0.4119,0.0000,-0.4385,0.4791
